Issue key,Summary,Issue Type,Description,Priority,Labels,Story Points,Phase,Depends On
,INF-01: Endpoint getDiagnosticSnapshot(),Story,`SynthEngine` expone snapshots inmutables y consistentes de engine y voces activas; el bridge puede leerlos sin condiciones de carrera ni lecturas parciales.,High,"calibration,infra,phase1",8,1,
,INF-02: Contrato VoiceDiagnosticSnapshot,Story,"El snapshot incluye cutoff base, cutoff efectivo, resonance base, contribuciones de env/LFO/keytracking/drift, estado HPF y pole mode; refleja estado real del DSP y no solo valores derivados de UI.",High,"calibration,infra,phase1",8,1,INF-01
,INF-03: Centralización de BRIDGE_PARAM_MAPS,Story,"Todo mapping usa constantes globales (`PARAMTOBYTEOFFSET`, `PARAMTOCC`, `ENUMBYTES`, `BIPOLARBYTES`, `BYTEOFFSETTOPARAMIDS`) sin lógicas locales duplicadas.",Medium,"bridge,webui,phase1",3,1,
,INF-04: Diagnostics Store & Table,Story,"Existe un store central de snapshots y una tabla reusable con filtro por `paramId`, offset, sorting y export JSON/CSV.",Medium,"webui,diagnostics,phase1",5,1,INF-03
,INF-05: Versionado de schema de snapshot,Story,El snapshot incluye `diagnosticSchemaVersion` y la UI valida compatibilidad antes de renderizar.,Medium,"infra,webui,phase1",2,1,INF-01
,TST-01: Suite de Tests de Contrato Críticos,Story,"Tests que cubren: `vcfpolemode` stub vs 4-pole, `DriftEngine` con drift0 determinista tras warm-up corto, `hpfboostenable` incrementando energía en graves y reversibilidad SysEx raw ↔ semántico ↔ DSP en parámetros críticos.",High,"tests,dsp,phase1",5,1,INF-02
,TRC-01: Trazador de 4 Capas (VCF/HPF),Story,La UI visualiza Raw → Normalized → DSP Base → DSP Effective para parámetros de filtro y distingue claramente base vs effective.,High,"webui,diagnostics,phase1",8,1,"INF-02,INF-04"
,TRC-02: Filtro de Voz Independiente (Voice Trace),Story,Puede seleccionarse cualquiera de las voces activas y ver su traza sin ambigüedad ni mezcla con otras voces.,Medium,"webui,diagnostics,phase1",5,1,TRC-01
,DIF-01: Diff Semántico de Presets,Story,"Compara dos presets con `PARAMTOBYTEOFFSET` + `rawToNormalized`; soporta offsets compartidos y etiqueta aliases como `shared offset`, no como conflicto falso.",High,"bridge,webui,phase2",5,2,INF-03
,VAL-01: Round-Trip Pipeline Validator,Story,"Valida `Raw → Semántico → DSP → Export Raw`, clasifica mismatches por tipo y aplica tolerancias por clase de parámetro.",High,"dsp,infra,phase2",13,2,INF-02
,VAL-02: UI de Reporte de Consistencia,Story,"Panel visual con totales, exact matches, within tolerance y discrepancias filtrables por dominio y criticidad.",Medium,"webui,diagnostics,phase2",5,2,VAL-01
,DIF-02: Diff Efectivo del Engine,Story,Compara snapshots de engine entre dos configuraciones y muestra diferencias en valores efectivos realmente audibles o estructurales.,High,"dsp,webui,phase2",8,2,"INF-02,DIF-01"
,INS-01: Magic Number Inspector,Story,"Escanea constantes en bridge y DSP, las clasifica (`hardware_contract`, `enum_contract`, `calibration_candidate`, `dsp_internal`, `review_needed`) y genera informe navegable sin tocar el DSP.",Medium,"dsp,bridge,phase3",8,3,DIF-02
